Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2018-11-16,86.3,87.5,81.26,82.5,-4.62,11480.0,244.0,950.98
2018-11-15,88.0,88.99,85.0,86.5,-0.97,4661.0,135.0,403.67
2018-11-14,81.5,87.6,81.01,87.35,5.88,4752.0,152.0,406.15
2018-11-13,83.0,83.0,81.0,82.5,-3.73,12892.0,304.0,1056.88
2018-11-09,87.0,87.0,82.5,85.7,-2.78,16374.0,387.0,1385.2
2018-11-08,88.45,92.0,87.12,88.15,-0.2,11983.0,303.0,1061.27
2018-11-07,96.5,97.6,87.2,88.33,-6.92,17834.0,434.0,1645.58
2018-11-06,93.9,98.5,90.51,94.9,3.15,24119.0,557.0,2289.18
2018-11-05,82.02,94.88,82.01,92.0,13.58,46033.0,877.0,4159.29
2018-11-02,77.0,82.0,77.0,81.0,7.43,13766.0,347.0,1108.91
2018-10-31,73.15,77.0,73.15,75.4,4.0,10964.0,263.0,828.56
2018-10-30,72.0,72.6,71.53,72.5,0.07,4775.0,67.0,345.32
2018-10-29,71.02,72.9,71.02,72.45,2.03,7354.0,133.0,530.68
2018-10-26,71.0,74.1,71.0,71.01,0.37,20413.0,342.0,1476.49
2018-10-25,70.61,72.0,68.42,70.75,-5.06,40131.0,801.0,2821.8
2018-10-24,71.21,76.9,71.21,74.52,2.07,18022.0,272.0,1348.87
2018-10-23,74.0,74.0,69.0,73.01,-4.56,31231.0,878.0,2240.11
2018-10-22,78.0,78.0,71.0,76.5,-2.68,31699.0,705.0,2350.73
2018-10-19,78.4,79.5,77.3,78.61,-0.62,11633.0,200.0,909.36
2018-10-18,80.2,82.0,78.2,79.1,-1.74,13884.0,140.0,1101.27
2018-10-17,83.0,83.82,80.1,80.5,-3.01,11449.0,180.0,942.73
2018-10-16,83.0,83.8,80.7,83.0,0.18,8475.0,114.0,703.05
2018-10-15,85.0,85.3,81.3,82.85,-1.12,17877.0,335.0,1478.2
2018-10-12,81.0,83.95,77.5,83.79,5.13,17507.0,450.0,1429.97
2018-10-11,82.1,83.88,76.0,79.7,-7.75,43779.0,883.0,3518.61
2018-10-10,90.5,90.5,85.0,86.4,-4.64,11711.0,246.0,1027.38
2018-10-09,90.1,91.69,88.6,90.6,-0.55,6016.0,135.0,540.38
2018-10-08,94.58,97.0,89.23,91.1,-3.7,7519.0,254.0,687.12
2018-10-05,90.4,98.99,90.4,94.6,2.83,17779.0,415.0,1701.26
2018-10-04,95.0,95.05,90.11,92.0,-2.54,11075.0,180.0,1033.3
2018-10-03,92.99,94.55,88.8,94.4,2.05,22848.0,390.0,2072.17
2018-10-02,93.1,94.92,91.5,92.5,-1.93,8208.0,223.0,758.79
2018-10-01,97.0,99.38,93.6,94.32,-2.76,4963.0,172.0,473.86
2018-09-28,99.0,100.96,95.1,97.0,-1.02,9192.0,193.0,901.31
2018-09-27,97.8,100.5,97.8,98.0,1.05,6774.0,163.0,672.18
2018-09-26,97.8,101.6,96.1,96.98,-0.69,11665.0,216.0,1147.56
2018-09-25,94.1,97.99,94.1,97.65,5.0,6921.0,234.0,666.91
2018-09-24,100.0,101.0,93.0,93.0,-7.0,16414.0,396.0,1584.02
2018-09-21,99.0,101.9,98.5,100.0,1.63,4984.0,161.0,498.42
2018-09-20,96.51,98.98,96.5,98.4,1.97,3080.0,121.0,300.57
2018-09-19,101.5,105.0,96.1,96.5,-5.39,20403.0,471.0,2022.91
2018-09-18,103.0,110.0,102.0,102.0,-0.49,23309.0,601.0,2472.46
2018-09-17,89.6,102.5,89.6,102.5,14.27,23094.0,546.0,2243.85
2018-09-14,89.0,89.8,88.0,89.7,1.09,5563.0,111.0,497.2
2018-09-13,88.96,88.96,87.0,88.73,3.15,4052.0,121.0,357.3
2018-09-12,90.2,91.0,85.5,86.02,-1.58,13967.0,262.0,1230.08
2018-09-11,95.0,95.0,87.0,87.4,-6.02,15014.0,363.0,1371.57
2018-09-10,87.02,93.45,84.0,93.0,5.08,23058.0,519.0,2003.06
2018-09-07,87.0,92.8,87.0,88.5,0.0,26146.0,337.0,2332.21
2018-09-06,89.9,90.5,86.0,88.5,-3.28,23814.0,387.0,2110.32
2018-09-05,89.6,96.8,89.6,91.5,1.92,34403.0,752.0,3224.5
